FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,State_code
45001,Alabama,US,4/3/2020 22:46,34.22333378,-82.46170658,6,0,0,0,AL
22001,Alabama,US,4/3/2020 22:46,30.2950649,-92.41419698,72,1,0,0,AL
51001,Alabama,US,4/3/2020 22:46,37.76707161,-75.63234615,8,0,0,0,AL
16001,Alabama,US,4/3/2020 22:46,43.4526575,-116.2415516,307,3,0,0,AL
19001,Alabama,US,4/3/2020 22:46,41.33075609,-94.47105874,1,0,0,0,AL
29001,Alabama,US,4/3/2020 22:46,40.19058551,-92.60078167,6,0,0,0,AL
40001,Alabama,US,4/3/2020 22:46,35.88494195,-94.65859267,14,0,0,0,AL
8001,Alabama,US,4/3/2020 22:46,39.87432092,-104.3362578,260,7,0,0,AL
16003,Alabama,US,4/3/2020 22:46,44.89333571,-116.4545247,1,0,0,0,AL
17001,Alabama,US,4/3/2020 22:46,39.98815591,-91.18786813,2,0,0,0,AL
18001,Alabama,US,4/3/2020 22:46,40.7457653,-84.93671406,1,0,0,0,AL
28001,Alabama,US,4/3/2020 22:46,31.47669768,-91.35326037,14,0,0,0,AL
31001,Alabama,US,4/3/2020 22:46,40.5244942,-98.50117804,6,0,0,0,AL
42001,Alabama,US,4/3/2020 22:46,39.87140411,-77.21610347,19,0,0,0,AL
53001,Alabama,US,4/3/2020 22:46,46.98299757,-118.5601734,20,0,0,0,AL
55001,Alabama,US,4/3/2020 22:46,43.96974651,-89.76782777,1,0,0,0,AL
50001,Alabama,US,4/3/2020 22:46,44.03217337,-73.14130877,32,0,0,0,AL
45003,Alabama,US,4/3/2020 22:46,33.54338026,-81.63645384,22,1,0,0,AL
12001,Alabama,US,4/3/2020 22:46,29.67866525,-82.35928158,110,0,0,0,AL
37001,Alabama,US,4/3/2020 22:46,36.0434701,-79.39976137,14,0,0,0,AL
6001,Alabama,US,4/3/2020 22:46,37.64629437,-121.8929271,443,12,0,0,AL
8003,Alabama,US,4/3/2020 22:46,37.57250606,-105.7885451,4,0,0,0,AL
36001,Alabama,US,4/3/2020 22:46,42.60060306,-73.97723916,267,2,0,0,AL
56001,Alabama,US,4/3/2020 22:46,41.65498705,-105.7235415,4,0,0,0,AL
51003,Alabama,US,4/3/2020 22:46,38.02080697,-78.55481085,26,0,0,0,AL
28003,Alabama,US,4/3/2020 22:46,34.88084463,-88.57996173,6,0,0,0,AL
37003,Alabama,US,4/3/2020 22:46,35.9223796,-81.17751948,2,0,0,0,AL
51510,Alabama,US,4/3/2020 22:46,38.814003,-77.08183073,56,0,0,0,AL
19005,Alabama,US,4/3/2020 22:46,43.28383218,-91.37860922,16,1,0,0,AL
26005,Alabama,US,4/3/2020 22:46,42.59147037,-85.89102866,6,0,0,0,AL
24001,Alabama,US,4/3/2020 22:46,39.62357628,-78.69280486,2,0,0,0,AL
36003,Alabama,US,4/3/2020 22:46,42.25748406,-78.02750466,14,1,0,0,AL
37005,Alabama,US,4/3/2020 22:46,36.49360862,-81.12857041,2,0,0,0,AL
51005,Alabama,US,4/3/2020 22:46,37.78636074,-80.00222498,2,0,0,0,AL
